Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
ap,Access Point,string,36,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
date,Date,string,10,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
devid,Device ID,string,16,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
eventtime,Event time,uint64,20,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
level,Log Level,string,11,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
logdesc,Log Description,string,4096,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
logid,Log ID,string,10,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
msg,Log Message,string,4096,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
signal,The signal value of SSID or client,int8,4,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
sn,Serial Number,string,64,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
stamac,The MAC address of wifi station,string,17,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
subtype,Log Subtype,string,20,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
time,Time,string,8,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
type,Log Type,string,16,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
tz,Time zone,string,5,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
vd,Virtual Domain Name,string,32,43683 - LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,43683,LOG_ID_EVENT_WIRELESS_BLE_DEV_LOCATE,Wireless ble dev detection,Event,wireless,Information,7.4.12
